Accession	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources
sp|P53191|PIB2_YEAST	31	2768049.999	2575774.977	2914176.274	1441326.315	1388394.953	1295888.813	2292762.07	1963784.002	2235703.797
sp|P53192|GET1_YEAST	37	16307640.25	12702418.88	14834621.51	8809591.407	7993240.027	8448318.673	15368514.64	13563473.8	16043050.13
sp|P53193|JAC1_YEAST	15	732306.7922	748404.9773	795937.7197	629847.3699	608518.2441	609681.5667	631949.3726	529805.9207	590714.3213
sp|P53195|COG7_YEAST	6	223043.2666	212251.7749	247819.1777	396694.9209	417181.9736	389539.7012	196140.626	165337.5591	151657.3071
sp|P53196|RPN14_YEAST	14	1601298.386	1530714.169	1685104.274	1623273.242	1539255.554	1570300.106	1637786.449	1514973.001	1551224.933
sp|P53197|CDH1_YEAST	3	82722.62891	90357.12793	93907.20898	143124.1074	147453.0527	144802.25	167201.0039	149320.1406	150133.7988
sp|P53198|ERP6_YEAST	7	567051.874	507477.9287	560924.5447	595493.4546	551368.5737	575150.2671	453457.9141	379020.4492	427336.1538
sp|P53199|ERG26_YEAST	31	4745405.31	4262800.56	4861397.177	6137890.855	6056156.668	6085968.154	4636645.192	3745674.687	4372849.657
sp|P53200|EFM5_YEAST	26	4828846.004	4023062.644	4989523.703	4242677.595	4452359.176	4052491.783	4500553.826	3620635.627	4181532.269
sp|P53201|SWC4_YEAST	26	2344366.408	2141442.695	2577333.08	2055325.433	2027660.31	1975619.836	2576316.156	2091780.689	2382963.4
sp|P53202|CUL3_YEAST	28	1570572.708	1320974.081	1538222.731	1290312.636	1159727.187	1153913.96	1506100.639	1278174.532	1546727.362
sp|P53203|PEX31_YEAST	19	903046.1687	762099.1517	851139.0075	754587.0782	665148.7877	745626.7256	1045311.717	924417.2244	1001849.838
sp|P53204|NMA2_YEAST	30	4316787.104	3737997.341	4239856.271	2605938.976	2413304.305	2346758.393	5682883.18	4724289.499	5490712.641
sp|P53206|CYSKL_YEAST	38	11353803.86	10841846.42	12405635.27	9883857.153	9884770.495	9712606.028	12010503.9	10265815.32	11700743.55
sp|P53207|SNU71_YEAST	29	1691867.588	1689276.78	1806850.095	1656628.105	1588708.663	1673304.376	1724301.676	1525217.331	1585554.504
sp|P53208|YG19_YEAST	5	199489.8749	195425.3814	205382.92	225495.3167	186135.9141	205232.46	172393.9106	162740.5811	176575.0449
sp|P53210|YG1B_YEAST	25	5059073.3	4237059.117	5191631.21	3923470.934	4273003.358	3796931.975	4675431.52	3645658.032	4289442.98
sp|P53212|YG1D_YEAST	9	902052.2307	937621.538	960114.4541	1257826.882	1318303.307	1273700.149	1140973.475	1028210.653	1050756.413
sp|P53214|MTL1_YEAST	2	85349.67969	67995.54736	75780.79639	47792.97729	53116.06494	48156.63721	81160.58057	65339.53955	85816.02539
sp|P53215|THG1_YEAST	7	255321.2285	215793.2754	236902.0938	308503.4014	263849.6377	274193.4092	331308.3242	280588.8262	309232.3672
sp|P53217|YG1I_YEAST	19	1588781.75	1317643.137	1531146.179	894735.3633	814360.3516	858325.0493	1587853.346	1382803.744	1622389.152
sp|P53218|POP6_YEAST	5	73130.49323	76891.42688	98409.44354	300227.5481	319434.2695	316521.2002	216254.7035	191955.0941	168922.4254
sp|P53219|IMO32_YEAST	8	151020.001	137274.0205	157002.1328	278351.5859	282771.2422	280132.4014	188937.0381	154714.4941	158257.0059
sp|P53220|TIM21_YEAST	19	6896754.211	5607316.976	6765755.399	4292588.812	4123312.832	4306762.498	8929535.174	7583666.286	8661821.517
sp|P53221|RL26B_YEAST	9	3309333.879	3274281.113	3479850.54	1854277.313	1606300.991	1645861.264	1757120.27	1629368.59	1823882.1
sp|P53224|ORM1_YEAST	8	36822.44946	24048.06299	31790.95917	29817.57581	20214.86139	28059.42438	28170.54028	25642.94086	32685.23572
sp|P53226|BUD9_YEAST	15	1031483.551	973634.1133	1085393.035	787333.7804	743960.9933	753412.9749	747272.5626	633245.584	724175.687
sp|P53227|YG1T_YEAST	3	195528.1082	197970.6226	228526.1455	160468.6367	161192.6211	160254.6563	281846.4629	262472.6797	270540.1367
sp|P53228|TAL2_YEAST	56	7167925.919	7078707.418	8105904.41	5358183.432	5871459.553	5374371.622	53669302.21	43009299.62	56100691.28
sp|P53230|TAM41_YEAST	18	838650.0639	807610.5794	888727.0609	1368877.235	1235572.093	1328362.148	1153846.981	982056.3425	1041195.033
sp|P53234|YG21_YEAST	2	74569.44116	65361.6051	69096.23059	60809.73785	56538.45715	57773.29517	70897.604	59738.98914	69618.37817
sp|P53235|EIF2A_YEAST	60	6722175.361	5728925.511	6837361.486	8853070.216	8447210.721	8921768.147	5774241.846	4928904.824	5276670.864
sp|P53236|RSC1_YEAST	45	3829045.28	3542545.23	4100696.914	3606808.162	3575617.685	3498480.234	3958143.529	3226167.489	3731591.746
sp|P53237|LST7_YEAST	7	616462.9923	590176.9297	646542.2119	341655.7616	299464.8076	313825.1084	934130.4009	737822.5637	908509.6304
sp|P53238|PEF1_YEAST	9	658972.7759	583785.6318	704919.9597	379861.8816	337405.2915	331368.0459	342748.0132	294489.5715	348898.0801
sp|P53239|COX18_YEAST	8	584717.4238	564282.3594	580985.6426	544514.8906	514290.4746	560724.7734	1011889.293	881936.6953	1056807.24
sp|P53241|VHT1_YEAST	42	17286005.65	13854153.4	15388655.61	5024618.271	4421351.182	4546163.456	6583739.616	5833734.081	6831838.719
sp|P53243|YG2A_YEAST	12	131218.2673	137053.5837	162274.7971	778509.5527	704837.2002	719530.748	654537.6348	560821.0635	655224.4551
sp|P53244|ART5_YEAST	12	491919.0945	437605.1606	476860.8914	615827.9634	523244.9304	579382.2976	341933.1699	285588.5498	292455.8899
sp|P53246|ENV11_YEAST	17	1344062.007	1279942.039	1375062.342	1540904.438	1466432.051	1582089.523	1657186.335	1492126.984	1689086.054
sp|P53248|PEX8_YEAST	24	1480351.451	1271828.7	1420924.329	859806.4502	716821.3972	754254.4119	1379688.917	1222797.82	1423962.906
sp|P53250|TWF1_YEAST	10	2319795.536	1340563.27	1718780.998	1214806.578	1154029.328	1169609.478	1794631.622	1401931.41	1804067.786
sp|P53251|SLX9_YEAST	8	298694.8293	308634.6121	336159.8442	427192.874	440132.8701	410845.7383	389671.7883	333810.2105	366014.9849
sp|P53252|PIL1_YEAST	131	24817066.87	25401654.61	27463286.17	27282540.46	27613310.86	26933355.62	34109616.27	30203784.65	31946572
sp|P53253|NNF2_YEAST	18	1472102.867	1416678.074	1696315.649	1461540.385	1451989.278	1379747.926	1378233.07	1169283.82	1253442.229
sp|P53254|UTP22_YEAST	99	15604921.31	13724200.34	15766640.72	17488088.41	15742234	16603381.5	13697669.19	11914030.31	13106077.23
sp|P53255|DRN1_YEAST	14	948962.9219	898834.5225	974624.7913	958638.8132	921437.4912	930440.7211	971594.3191	838343.0879	914144.2361
sp|P53256|RRP46_YEAST	10	272413.3411	260016.4595	281064.605	494795.5596	449014.2358	473905.7075	277971.9507	250689.5579	256900.7888
sp|P53257|TPC1_YEAST	14	581403.0227	509946.6763	554544.6389	355533.4031	324957.6626	320076.1199	641708.0195	552362.635	648569.5027
sp|P53258|GYP2_YEAST	49	7235776.532	6466593.768	7196361.422	6537811.993	6023631.193	6432412.126	7023187.533	5967945.818	6579557.475
sp|P53260|GATF_YEAST	18	3236018.886	2806958.976	3218025.127	2168984.293	2150758.09	2117707.477	4075273.845	3306307.3	4006767.697
sp|P53261|PESC_YEAST	65	15779572.04	14696519.59	16204774.98	21650630.79	20971509.8	22661577.12	16574507.13	14635116.51	15895953.3
sp|P53262|VOA1_YEAST	6	669924.5996	653020.6367	714602.8242	476702.4102	420424.874	451210.3652	711155.9424	612499.6738	1386792.27
sp|P53264|CLD1_YEAST	24	731934.3394	668741.4155	727247.8767	604830.1074	574816.302	600092.36	1157574.571	994539.5356	1124652.463
sp|P53265|YG2W_YEAST	37	9625586.704	7971992.326	9436729.624	6078591.946	5438982.636	5470913.514	6857153.612	5463152.313	6364134.175
sp|P53266|SHY1_YEAST	42	3480709.419	2842893.168	3235585.666	1797475.322	1634627.767	1622384.712	4971969.792	4314930.564	5364185.795
sp|P53267|DAM1_YEAST	16	1822913.81	1596795.839	1886631.855	972554.2659	916706.1018	933187.0181	1610307.958	1354407.028	1633358.771
sp|P53270|YG32_YEAST	21	2802745.416	2569477.711	2836087.159	3239861.388	3086542.98	3010387.544	3036101.033	2506844.929	2790477.131
sp|P53271|COG2_YEAST	30	4550086.229	3579956.672	4148062.938	2571335.839	2103333.899	2299788.407	2826826.699	2419619.884	2874981.016
sp|P53272|YG34_YEAST	23	1476085.771	1347406.7	1528366.215	1164695.531	1050051.008	1098061.811	1516341.105	1321019.705	1505688.587
sp|P53273|YG35_YEAST	36	3773337.559	3405844.037	3845799.397	2979334.765	2758324.594	2858945.969	2982872.112	2740022.899	3036823.641
sp|P53274|YG36_YEAST	11	1848130.222	2077196.457	2300213.774	1378356.204	1266701.697	1280644.454	1640566.826	1532489.564	1572573.416
sp|P53275|YG37_YEAST	36	3065774.016	2888677.944	3450025.029	2914036.914	3225051.799	2832128.963	3022843.29	2386000.698	2635350.241
sp|P53276|UTP8_YEAST	39	4279346.465	3572260.438	4148301.241	5234688.962	4859733.848	4982175.362	4382984.286	3683339.701	4038700.791
sp|P53277|SYF2_YEAST	8	1653518.389	1466195.085	1824880.275	831505.1455	831118.4033	728443.0513	1394047.17	1149142.818	1405785.679
sp|P53278|YG3A_YEAST	102	31205748.4	28037715.92	33072517.13	18446541.14	19503087.48	17711256.16	43106244.51	35087048.15	41724082.36
sp|P53280|CF130_YEAST	33	2107807.993	1925572.017	2080142.163	1635529.143	1508532.981	1544213.888	1914441.577	1707982.682	1905084.36
sp|P53281|LSB1_YEAST	8	1511468.85	1516113.191	1672812.279	1305678.381	1366745.578	1285737.428	969110.3613	834280.5039	862011.5938
sp|P53283|TPO2_YEAST	1	23840.75391	25845.35156	24943.35156	42679.07031	33768.16016	38025.62109	8256.957031	8991.308594	6295.761719
sp|P53285|VPS62_YEAST	8	479482.4735	482298.7227	480043.4264	338240.4438	311575.3804	329820.7585	357922.9268	350286.5356	360468.7805
sp|P53289|RTS3_YEAST	24	3898195.324	3837606.495	4451288.888	704310.4958	718173.7516	587256.7336	4399474.082	3684448.937	4385381.683
