Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|P07236|SYTM_YEAST	104780	96975	105800	159810	156950	159480	95453	84268	87677
sp|P07244|PUR2_YEAST	724240	707520	838020	1688400	1853800	1805300	748870	660820	612850
sp|P07245|C1TC_YEAST	874770	848840	990820	2039500	2255500	2177400	787100	662130	622070
sp|P07246|ADH3_YEAST	611130	578970	679690	866750	862760	816740	690800	576180	601840
sp|P07248|ADR1_YEAST	513230	437300	512140	431870	372060	394190	551250	507210	544100
sp|P07249|ARGR1_YEAST	4040.4	2896.8	3332.4	1894.7	2816.3	2274.6	4984.1	3407.3	3705.7
sp|P07250|IPMK_YEAST	38647	37275	43058	54731	66653	59769	51673	40859	38810
sp|P07251|ATPA_YEAST	1093800	1059000	1175100	1532400	1547100	1486900	2767900	2395200	2570600
sp|P07252|CBP1_YEAST	119030	108290	121160	85920	75817	78977	100110	84366	101050
sp|P07253|CBP6_YEAST	227530	222210	272690	236410	239800	225950	285580	234060	248420
sp|P07255|COX9_YEAST	474000	391840	484500	287270	238500	250650	882290	741620	924860
sp|P07256|QCR1_YEAST	953500	891350	1078700	622170	624530	585420	1707200	1444500	1627700
sp|P07257|QCR2_YEAST	1255300	1365800	1530900	1560800	1686700	1468800	2926300	2410800	2690900
sp|P07258|CARA_YEAST	171750	149360	178840	315970	341580	327870	122750	106590	98768
sp|P07259|PYR1_YEAST	3459400	2966100	3576500	3762300	3663400	3683800	1697100	1435000	1442400
sp|P07260|IF4E_YEAST	337180	293760	346740	569790	616860	608120	306590	252570	239590
sp|P07261|GCR1_YEAST	251340	209410	248790	173760	157710	159420	282090	238790	279600
sp|P07262|DHE4_YEAST	4206300	4003500	4815900	2783100	2394500	2405400	2849000	2469100	2671300
sp|P07263|SYH_YEAST	492830	443360	512910	581310	578090	559700	375380	328750	345560
sp|P07264|LEUC_YEAST	1222400	1162900	1405700	1246700	1234100	1162900	1788800	1514200	1624600
sp|P07266|MRS1_YEAST	73504	70834	79211	111660	107080	105170	107900	93920	102820
sp|P07267|CARP_YEAST	903400	816800	937170	617540	614290	596180	1353000	1151300	1271200
sp|P07269|PHO2_YEAST	244840	210820	259930	183070	176620	179690	234640	238180	224800
sp|P07271|PIF1_YEAST	35398	33721	37388	37070	36611	37712	39242	36174	38632
sp|P07273|TFS2_YEAST	177070	187090	236620	272010	279850	255410	249660	206870	210710
sp|P07274|PROF_YEAST	47634	47183	51918	107400	119660	116930	44365	41201	37896
sp|P07275|PUT2_YEAST	455490	427970	499170	796870	825480	792580	599570	505580	514480
sp|P07276|RAD2_YEAST	69764	72209	80170	79472	74813	77268	122190	107760	112590
sp|P07277|KIME_YEAST	144660	136290	151020	183650	168460	171810	151150	122710	139060
sp|P07278|KAPR_YEAST	567310	572990	678970	685020	720740	679070	816420	690460	713840
sp|P07281|RS19B_YEAST;sp|P07280|RS19A_YEAST	386670	417790	512900	1830400	1951500	1989200	785510	655420	542290
sp|P07283|PMM_YEAST	1929400	1623400	1988600	1812900	1484800	1578600	1276400	1060600	1101800
sp|P07284|SYSC_YEAST	947890	865570	1068200	1333600	1416600	1345100	859350	725970	718920
sp|P07285|TRPD_YEAST	102140	91806	101680	186250	200720	207950	60626	51312	48162
sp|P07286|GPT_YEAST	43370	42839	42705	28591	23002	26324	33866	37355	36263
sp|P07342|ILVB_YEAST	498810	480030	582430	1229800	1312900	1266600	772250	647250	644890
sp|P07347|ARD1_YEAST	120730	110860	132700	146810	132610	137550	70600	62604	57716
sp|P07390|PT494_YEAST	98619	86722	93856	73270	66302	68559	118830	109540	127630
sp|P07560|SEC4_YEAST	595910	521790	610730	598920	527480	563870	769800	667140	722210
sp|P07703|RPAC1_YEAST	297740	302030	353710	266430	296840	255820	301350	247130	270960
sp|P07806|SYV_YEAST	1924900	1761300	2081700	2588600	2554100	2585100	1680400	1448200	1456600
sp|P07807|DYR_YEAST	70511	71600	76273	96255	98261	95585	85084	73850	81338
sp|P07834|CDC4_YEAST	20500	19863	20318	35507	34118	37313	26875	20911	23210
sp|P07866|LTE1_YEAST	214250	199000	222630	211430	201970	202570	170780	151340	156030
sp|P07884|MOD5_YEAST	105320	105510	123170	137850	135210	130580	172260	148920	152230
sp|P07991|OAT_YEAST	708250	605400	698490	667180	626240	641130	668210	533890	598360
sp|P08004|CHS1_YEAST	425250	408530	457790	352870	338260	346780	436720	396100	436520
sp|P08018|PBS2_YEAST	237500	205780	254000	219710	185200	196410	208500	157360	175380
sp|P08019|AMYG_YEAST	62150	56551	58103	20696	20841	20044	142370	119910	153220
sp|P08067|UCRI_YEAST	653480	467440	574950	372660	357890	346430	1388400	1162800	1305500
sp|P08153|SWI5_YEAST	1976.4	1990.1	2462.9	5818.8	6723.2	5927.9	2916.2	2485.2	2202.9
sp|P08417|FUMH_YEAST	700000	688760	823170	893000	916720	853690	1162700	981690	1038600
sp|P08425|SYFM_YEAST	142540	138460	160400	204370	186080	196030	172520	158690	155950
sp|P08431|GAL7_YEAST	2250000	1769500	2317800	161100	167310	62108	32389	28098	27907
sp|P08456|PSS_YEAST	107100	92945	106790	92804	90724	91186	128910	118550	124410
sp|P08465|MET2_YEAST	48900	49321	54193	72070	73632	74427	20950	18528	17105
