Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|P32797|CDC13_YEAST	45202	42561	45801	27135	26251	25427	32415	29911	32428
sp|P32798|COT1_YEAST	47261	44760	48855	63209	53791	59404	59955	53441	55379
sp|P32799|COX13_YEAST	309760	278890	310840	175440	172260	161540	668180	541290	605380
sp|P32800|PEX2_YEAST	49216	41054	46042	31131	27537	28187	68003	57761	69561
sp|P32801|ELM1_YEAST	39476	32543	36454	45587	41531	42728	30633	25440	28016
sp|P32802|TMN1_YEAST	277170	261730	279860	392000	377460	411590	239090	212530	228130
sp|P32803|EMP24_YEAST	262810	235320	281710	217860	190930	199970	339360	281060	329030
sp|P32804|ZRT1_YEAST	719560	529250	634070	446310	372150	407930	468480	404810	463730
sp|P32806|GYP6_YEAST	185420	153870	179960	159890	148660	145700	167010	143420	167330
sp|P32807|KU70_YEAST	163660	151690	170820	141340	124910	125530	208800	177000	200660
sp|P32828|SLX5_YEAST	4134.7	4205.3	4533.9	4627.6	4466.2	4737.1	6027.7	5334.3	5693
sp|P32829|MRE11_YEAST	50942	51386	58629	56437	52253	52831	65931	55745	60027
sp|P32830|TIM12_YEAST	82057	71601	95110	82114	92495	71549	84598	70939	80083
sp|P32831|NGR1_YEAST	72870	74125	84565	117500	125210	121050	102710	86576	82776
sp|P32832|RSC7_YEAST	534090	442880	539170	453620	512820	454610	460560	364800	389650
sp|P32833|ORC2_YEAST	154290	130310	154490	136650	131700	128220	148780	121130	144160
sp|P32835|GSP1_YEAST	907750	828610	974250	1313700	1124800	1126900	1258900	1066100	1104500
sp|P32836|GSP2_YEAST	34423	32528	38309	37446	37995	32501	95808	82035	86048
sp|P32838|PP2A4_YEAST	42076	38567	43313	54185	48447	52656	34580	31424	32695
sp|P32839|BCS1_YEAST	90706	85109	92080	92603	82524	89213	170360	148340	160770
sp|P32842|VATL2_YEAST	170320	148660	172230	97649	90436	95975	135380	132950	133870
sp|P32843|YME2_YEAST	810480	678040	796410	606570	585980	583710	1287700	1082300	1262400
sp|P32844|SEC6_YEAST	276940	249960	286710	258600	225300	235950	251400	214400	239460
sp|P32849|RAD5_YEAST	141120	133830	151500	104360	101240	98825	109750	92736	103170
sp|P32854|PEP12_YEAST	94245	99426	109430	218770	222570	226490	180340	162540	147370
sp|P32855|SEC8_YEAST	404560	331510	390350	348030	313260	321260	391880	336270	386920
sp|P32857|PTM1_YEAST	253300	219370	244430	159770	137260	153590	166260	158010	187450
sp|P32860|NFU1_YEAST	143360	146840	165310	331040	353450	346620	198180	165900	159650
sp|P32861|UGPA1_YEAST	2228000	2171300	2581800	2039300	1718400	1825800	2182000	1846400	1999400
sp|P32862|RGT1_YEAST	90147	87687	92471	98081	93389	93013	113550	100700	106550
sp|P32863|RAD54_YEAST	26685	26974	27106	30675	30407	33467	37630	33210	37150
sp|P32864|RAEP_YEAST	367260	311430	378090	330330	300260	310200	329930	276640	305730
sp|P32867|SSO1_YEAST	208180	194590	226740	134850	134340	124560	172720	152180	156790
sp|P32873|BEM3_YEAST	109510	101600	112890	136960	121630	130530	91904	80139	82925
sp|P32874|HFA1_YEAST	151830	142170	159850	161360	153770	154120	160250	138380	151210
sp|P32875|LIPA_YEAST	206450	176150	219890	162990	157810	153370	197410	160710	184590
sp|P32891|DLD1_YEAST	639340	511260	617130	482670	446120	455030	1153900	1006400	1158700
sp|P32892|DRS1_YEAST	305240	291130	328440	438930	407310	426380	270170	235170	240730
sp|P32893|TRS65_YEAST	54069	51835	57351	80054	66462	74765	42651	40072	36278
sp|P32895|KPR1_YEAST	308210	282290	351430	520770	526190	513440	294430	257260	244830
sp|P32896|PDC2_YEAST	97375	89142	99715	136140	126680	134570	91272	76624	83629
sp|P32897|TIM23_YEAST	316450	272720	318170	214850	199910	191140	413820	364830	398190
sp|P32898|CYM1_YEAST	426900	390980	438010	579090	565100	587600	483210	401520	426180
sp|P32899|IMP3_YEAST	294780	302490	361860	363810	409230	392160	307450	262250	269800
sp|P32900|SKG6_YEAST	32190	30987	38469	13165	14892	13115	11082	8952	8382.8
sp|P32901|PTR2_YEAST	23052	22694	23472	60449	57583	62508	59247	58427	63325
sp|P32902|RT04_YEAST	180960	167290	192350	170750	180880	169590	194110	159560	169860
sp|P32904|RM06_YEAST	287010	260640	301550	299110	306530	284660	309020	267580	286900
sp|P32905|RSSA1_YEAST	179920	175570	201320	473100	487530	490410	209550	181880	170020
sp|P32906|MNS1_YEAST	593780	492280	591500	494400	433910	471380	358930	324810	354160
sp|P32907|ATO2_YEAST	5210.2	5459.3	6365.3	52971	50918	56411	138350	115500	139670
sp|P32908|SMC1_YEAST	414620	394040	456460	422500	423850	399170	387500	327860	348170
sp|P32909|SMY2_YEAST	139170	140800	165900	225380	227320	223750	192540	167790	166400
sp|P32910|RPC6_YEAST	192910	138440	174050	142740	132790	130660	168070	132020	164950
sp|P32911|SUI1_YEAST	88410	99918	124410	207350	233440	221960	133120	112190	108350
sp|P32912|VAM7_YEAST	191320	172380	202900	131480	120740	135090	205500	177310	206830
sp|P32913|VPS17_YEAST	228960	209430	246790	217580	216600	204710	250790	220410	236200
sp|P32914|SPT4_YEAST	13633	11491	11755	12678	11424	11376	10621	9731.8	10659
sp|P32915|SC61A_YEAST	446580	391110	436710	286670	249290	264740	472800	428340	467410
sp|P32916|SRPR_YEAST	357900	311410	356250	389290	392450	396880	356470	300040	338820
sp|P32917|STE5_YEAST	14120	12953	14937	25535	22019	24472	7841.7	7481.2	6728
sp|P32939|YPT7_YEAST	280970	262510	295750	336080	339780	327430	497810	418860	471830
sp|P32945|PPQ1_YEAST	9659.4	8547.3	9256.3	8754.1	8068.4	8484.7	19188	17583	18593
sp|P33200|PDR3_YEAST	17491	16048	17643	28598	24709	26151	28113	22491	26263
sp|P33201|MRT4_YEAST	99704	94784	114600	356950	392220	389670	101810	92454	76857
sp|P33202|UFD4_YEAST	887440	733030	858450	645050	578270	605680	902120	762380	882630
sp|P33203|PRP40_YEAST	100260	95383	111030	133910	125840	128080	118830	104040	97717
sp|P33204|ARPC4_YEAST	121870	104500	121760	175490	141150	170010	81181	62204	68125
sp|P33296|UBC6_YEAST	10423	9095.8	10508	13402	12701	13427	24350	21883	22742
sp|P33297|PRS6A_YEAST	467120	473450	603260	684410	761800	676600	557800	448880	477420
sp|P33298|PRS6B_YEAST	325420	314320	376100	374300	396770	377030	314500	269230	291190
sp|P33299|PRS7_YEAST	425460	413910	480890	579210	613400	584950	442400	394040	405540
sp|P33300|SUR1_YEAST	70971	57949	65717	60970	56789	60896	123100	106420	120590
sp|P33301|XRS2_YEAST	50594	50291	59177	45167	44159	43900	50177	42323	48305
sp|P33302|PDR5_YEAST	481320	426540	502400	664580	621330	652990	411940	354980	391660
sp|P33303|SFC1_YEAST	30509	34360	46912	545200	390430	432410	416700	367980	402100
sp|P33304|AFR1_YEAST	16161	15279	14814	4459.8	3999.3	4094.7	25614	22068	30204
sp|P33306|BCK2_YEAST	38676	39328	42327	41460	41693	42160	60497	53433	55380
sp|P33307|CSE1_YEAST	561670	483180	556110	704830	637520	669770	504270	433380	482760
sp|P33308|MED9_YEAST	20680	22001	24272	31649	35494	33184	21803	19691	21300
sp|P33309|DOM34_YEAST	249490	256790	287230	408030	405100	450670	220180	210350	190660
sp|P33310|MDL1_YEAST	370390	310360	358210	238200	215990	229640	390460	346790	395230
sp|P33311|MDL2_YEAST	253310	207210	242240	233080	215730	223020	356480	307330	342840
sp|P33312|RIB7_YEAST	75453	66276	81184	80975	83363	78386	156930	132390	144440
sp|P33313|CNS1_YEAST	185220	176360	227570	163420	169600	142640	179300	144280	166270
sp|P33314|BUD2_YEAST	533060	468840	537300	375360	335560	346470	540860	461090	543700
sp|P33315|TKT2_YEAST	226880	216870	232850	158280	180530	158130	1416900	1114700	1226700
sp|P33317|DUT_YEAST	405330	325650	379010	201690	185210	188260	305980	249170	302370
sp|P33322|CBF5_YEAST	895670	757080	892840	885940	784140	826780	814920	686450	779110
sp|P33324|YKJ1_YEAST	864930	687830	789280	362880	324250	312200	677410	589780	664530
sp|P33327|DHE2_YEAST	519520	480830	548640	969270	898800	943540	1311800	1092400	1192800
sp|P33328|SNC2_YEAST	102410	104260	115670	96987	108330	98032	187720	163280	157890
sp|P33329|PPZ2_YEAST	177250	140160	169320	87112	76202	76925	251590	196600	229070
sp|P33330|SERC_YEAST	293150	283150	356540	912450	988740	953310	309710	258970	224190
sp|P33331|NTF2_YEAST	434670	440010	551550	398330	424000	360390	386090	313420	345890
sp|P33332|SEC3_YEAST	483740	436190	487700	495280	445870	477230	534830	447980	506350
sp|P33333|PLSC_YEAST	569720	509060	597570	608100	609420	599530	593070	512040	580530
sp|P33334|PRP8_YEAST	402070	367040	406010	510590	502660	518730	410020	355790	381930
sp|P33336|SKN1_YEAST	121750	108060	118810	52834	52737	51432	183320	161600	192840
sp|P33338|SLA2_YEAST	844240	820490	726200	711810	655610	659110	901890	763370	874330
sp|P33339|TFC4_YEAST	381420	339130	379620	294610	258070	276520	433210	378110	427540
sp|P33399|LHP1_YEAST	136100	152710	169960	219430	242740	233620	163290	142860	134490
sp|P33400|PACC_YEAST	83870	83663	90156	55530	53899	54894	93780	78163	90427
sp|P33401|PGM1_YEAST	509910	445140	537390	621710	583460	598370	416680	350080	384400
sp|P33411|PRP18_YEAST	75557	63408	75667	98926	131870	94724	99870	68191	81640
sp|P33412|ECT1_YEAST	151590	140640	157750	146930	138060	144240	85355	78594	82576
sp|P33413|DUR3_YEAST	18830	15872	18428	13829	11584	13161	3070.7	3273.5	3256.9
sp|P33416|HSP78_YEAST	942660	873280	1001300	1335200	1385400	1338700	1154500	982340	996740
sp|P33417|IXR1_YEAST	150160	155090	176810	168870	176350	169160	145220	130500	130440
sp|P33418|XPOT_YEAST	520410	441600	517060	488790	444060	469540	519460	493870	504410
sp|P33419|SPC29_YEAST	74559	76049	79778	63152	64287	64879	60306	55014	61399
sp|P33420|NIP80_YEAST	46326	40126	47940	21747	19832	20460	44727	38405	47347
sp|P33421|SDH3_YEAST	371000	289580	342730	150010	130510	134570	582550	513280	573340
sp|P33441|MFT1_YEAST	158660	155980	189390	238490	265550	244000	172690	136940	140890
sp|P33442|RS3A1_YEAST	1161600	1072300	1255600	1975800	2084200	2162000	1159600	982780	999650
sp|P33550|KTR2_YEAST	90688	64600	77810	35589	34180	31429	62327	50018	66650
sp|P33734|HIS5_YEAST	418380	384240	479120	657740	731790	685100	332550	274700	275170
sp|P33748|MSN2_YEAST	28514	29400	35771	43163	50615	47883	37392	30184	27350
sp|P33749|MSN4_YEAST	84751	69660	83283	23398	20998	20037	25776	23528	25633
sp|P33750|DCA13_YEAST	118400	117380	126020	184320	191360	194980	111520	100830	102560
sp|P33751|PAD1_YEAST	29842	32638	27179	31587	29362	30991	24493	25148	30782
sp|P33753|TRM2_YEAST	192000	194180	217070	198660	215260	200140	201680	177900	186780
sp|P33754|SEC66_YEAST	148470	132450	161410	196000	186840	188530	197300	176670	185940
sp|P33755|NPL4_YEAST	457730	428250	508880	460390	431760	423230	502290	433100	460490
sp|P33759|RT05_YEAST	153250	148020	159980	188820	204470	186980	199820	165660	180510
sp|P33760|PEX6_YEAST	295750	246690	289780	247620	212590	211650	295720	249960	297150
sp|P33767|OSTB_YEAST	348640	292480	346440	242950	210210	218790	375880	323360	381960
sp|P33775|PMT1_YEAST	961490	790140	919470	709350	621660	674540	1228700	1056200	1203200
sp|P33891|TIP20_YEAST	413280	328440	381620	307230	269680	282430	403820	340190	394710
sp|P33892|GCN1_YEAST	2863400	2417700	2852300	3605800	3165400	3405700	2306900	1924700	2140700
sp|P33893|GATB_YEAST	140820	139230	164740	186810	190880	194220	206850	171540	175180
sp|P33894|STE13_YEAST	531970	478050	537430	370010	312570	345290	704100	601420	726680
sp|P33895|NUF2_YEAST	80968	70960	81412	91754	89169	87067	61934	53001	56853
sp|P34072|MKS1_YEAST	229530	198430	238460	131770	127730	123050	139910	118790	129790
sp|P34077|NIC96_YEAST	627440	578280	682080	803020	752080	788380	797550	677190	728520
sp|P34078|LTV1_YEAST	64271	57212	63783	72631	82996	81338	54734	46459	50838
sp|P34087|RPB7_YEAST	34809	32911	34082	73347	57001	70761	26316	24878	24503
sp|P34110|VPS35_YEAST	405130	351820	405820	383890	335980	357230	414200	366670	411880
sp|P34111|TFC3_YEAST	303140	289430	316230	360160	347190	359660	378570	325670	353660
sp|P34160|NCBP1_YEAST	926870	797820	932410	874290	819580	844120	876330	750440	834740
sp|P34162|MED20_YEAST	6108.7	5263	6518.6	13145	13336	12029	4105.6	3646.9	3589.3
sp|P34163|TGL1_YEAST	384220	327810	383190	371430	344790	361680	315770	257250	319300
sp|P34164|SIP2_YEAST	96231	92884	112910	114890	121330	115630	128600	105870	106020
sp|P34167|IF4B_YEAST	1091300	1081700	1218900	1167400	1213400	1222000	1172100	991030	1078800
sp|P34216|EDE1_YEAST	930130	924450	1049900	1443200	1250800	1343700	955390	804600	795800
sp|P34217|PIN4_YEAST	139480	115290	137730	133660	137840	140620	111580	94831	110770
sp|P34218|SAS3_YEAST	31813	29988	31253	28006	23940	24512	31269	29053	32410
sp|P34219|TOD6_YEAST	19499	22487	23465	36166	38249	35975	45588	39125	42950
sp|P34220|YBF5_YEAST	199550	193890	210300	246420	209280	222710	300880	267950	282730
sp|P34221|PP2C3_YEAST	53781	47795	54061	80362	75969	81711	52768	43774	41504
sp|P34222|PTH2_YEAST	70897	75454	86960	150520	189280	152600	110540	96856	104650
sp|P34223|UBX1_YEAST	386960	362250	436260	435700	485210	472730	441970	361950	378870
sp|P34224|YBF9_YEAST	66740	64437	82368	39349	34692	36678	130310	102990	125110
sp|P34225|YEL1_YEAST	106770	95819	107930	68565	60693	63928	79080	67649	77518
sp|P34226|SKT5_YEAST	98406	94468	111180	110350	109530	110970	68495	64061	64474
sp|P34227|PRX1_YEAST	304440	307980	369700	405770	406740	385830	619450	544260	534690
sp|P34228|SEF1_YEAST	219010	189440	215290	187510	169110	176370	267560	229010	272180
sp|P34230|PXA2_YEAST	59968	55365	59764	46379	43491	46647	207500	177760	204400
sp|P34231|YKS7_YEAST	14336	14846	14971	14256	19059	18814	180260	148000	179610
sp|P34232|MTR2_YEAST	85190	83538	97505	124410	129670	134990	81448	65340	66704
sp|P34233|ASH1_YEAST	26826	30567	33103	50456	51098	51471	44448	40140	38356
sp|P34234|LOT5_YEAST	70298	64309	85752	72140	64456	68073	59885	45693	37941
sp|P34237|CASP_YEAST	423640	393420	449980	459890	446410	444120	465990	397780	429440
sp|P34239|LST4_YEAST	131800	120640	139470	84876	70925	71530	177460	150200	192480
sp|P34240|ZRT3_YEAST	123270	101960	128990	63711	62457	57525	86674	78643	83091
sp|P34241|URB1_YEAST	800610	692880	808800	828110	703580	745340	798980	688660	769660
sp|P34243|HCS1_YEAST	256770	229100	250470	196720	189600	185640	196960	166010	185930
sp|P34244|HSL1_YEAST	131270	126180	141810	114350	104720	108050	46607	42062	43602
sp|P34246|MTC2_YEAST	41741	40651	51886	16197	14019	13759	22725	19588	19635
sp|P34247|UTP11_YEAST	162150	139890	167580	111670	118300	110210	102060	86383	96891
sp|P34248|YKK0_YEAST	245930	211960	245140	185580	158040	168470	449830	385580	439590
sp|P34250|SEG2_YEAST	360480	314590	379710	199840	208010	185970	263180	206710	244520
sp|P34251|YKK7_YEAST	120670	122020	139020	150240	156780	153880	596570	496610	527660
sp|P34253|KTI12_YEAST	101830	100250	115380	204240	204580	207560	81144	69631	65299
sp|P34730|BMH2_YEAST	98086	102830	121070	124440	123070	112300	131950	104460	108770
sp|P34756|FAB1_YEAST	237090	195730	229780	155830	133530	136110	181720	158730	169080
sp|P34758|SCD5_YEAST	70268	63267	64730	46668	43543	45150	60850	62918	60890
sp|P34760|TSA1_YEAST	1464600	1497500	1693300	2442600	2239600	2134700	3639900	3010400	3529200
sp|P34761|WHI3_YEAST	189590	170920	212990	127870	127320	122720	175260	145440	162850
sp|P34909|NOT4_YEAST	267550	255670	298090	201740	191540	191590	257510	220040	251190
sp|P35056|PEX5_YEAST	144770	132160	142950	110690	108540	106420	100840	87909	101440
sp|P35127|UBL1_YEAST	42653	43757	49479	67180	72703	68399	40441	37768	35270
sp|P35169|TOR1_YEAST	570550	506720	571650	556270	509590	524420	570280	494910	585490
sp|P35172|TREB_YEAST	42022	38044	41727	43099	35430	41306	69970	59395	68102
sp|P35176|CYPD_YEAST	1427800	1232400	1401300	766350	691950	674930	1283200	1109700	1255900
sp|P35177|SPT7_YEAST	410430	379350	417780	448940	418280	446440	454670	385890	428860
sp|P35178|RRP1_YEAST	306050	257590	310200	232750	203520	216550	316020	265650	308310
sp|P35179|SC61G_YEAST	218450	201360	222840	154500	151780	140040	195650	164360	188490
sp|P35180|TOM20_YEAST	28772	27261	29972	32006	36196	35054	55504	49342	58114
sp|P35181|AP1S1_YEAST	81734	73990	82412	83538	70267	77426	76602	70424	74910
sp|P35182|PP2C1_YEAST	13728	14431	15872	21771	20217	21719	14470	13241	13444
sp|P35183|AST1_YEAST	221560	210010	254590	271620	252620	252110	161930	141570	140640
sp|P35184|SQT1_YEAST	187400	154240	183630	138470	129990	126610	247690	208090	243460
sp|P35187|SGS1_YEAST	5862.8	5189.5	6024	5253.7	4788.9	5121.4	4787.7	4333.1	5110.8
sp|P35189|TAF14_YEAST	371340	338750	410140	383160	405410	374470	384740	315980	341710
sp|P35190|CLG1_YEAST	3011.1	2455.4	2466.4	1358.6	1393.3	1362.8	4021.9	3061.2	2876.3
sp|P35191|MDJ1_YEAST	424870	379760	459410	558960	590330	543350	499410	413110	436690
sp|P35192|MAC1_YEAST	8885.2	9052.5	8704.1	9012.9	8599.3	7932.7	6398.9	5849.7	5834.2
sp|P35193|ATG19_YEAST	93263	86159	95131	80874	83191	84661	224950	177770	209180
sp|P35194|UTP20_YEAST	1056000	880440	1012500	1199300	1016700	1120700	927330	807830	886790
sp|P35196|RER2_YEAST	69965	64292	69741	87870	74300	83009	76873	65929	72967
sp|P35197|GCS1_YEAST	476650	421080	515400	618560	711080	670430	398120	323010	358680
sp|P35201|CENPC_YEAST	45433	40494	46186	28380	25591	26279	36977	30035	38052
sp|P35202|THI80_YEAST	29566	25340	29553	62632	59800	60980	17432	17520	16098
sp|P35203|CBF3C_YEAST	36916	32215	35724	23083	19003	20804	32495	29307	30409
sp|P35206|CSG2_YEAST	97146	85282	92190	74647	64147	77517	113900	107880	123330
sp|P35207|SKI2_YEAST	622170	561170	680960	1003100	982200	1017600	623010	529160	564950
sp|P35208|SPT10_YEAST	3901.3	3872.4	5055.3	20445	18186	21176	6386.7	5193.7	5338
sp|P35210|SPT23_YEAST	69714	65448	72880	66489	60974	59254	82144	68137	77622
sp|P35688|LRG1_YEAST	422740	354320	409340	239030	210550	222120	426740	368880	434470
sp|P35691|TCTP_YEAST	414820	336770	404300	696650	810830	747390	355600	291280	260220
sp|P35718|RPC8_YEAST	265780	197190	234940	147810	135100	137340	174930	131550	163130
sp|P35719|MRP8_YEAST	529370	494840	580250	361290	393760	338230	570040	492670	516590
sp|P35723|YET1_YEAST	329930	259520	314750	164600	141620	161670	431800	367160	431630
sp|P35724|MNR2_YEAST	131400	132270	149700	134500	145580	130640	202120	177760	181770
sp|P35725|YKG3_YEAST	252760	226090	252870	191950	172180	186460	277000	243510	274380
sp|P35727|BLI1_YEAST	49865	50963	57929	43189	43227	40571	50335	39351	44904
sp|P35728|MPE1_YEAST	127260	124190	147800	205950	215700	209080	153290	126190	122830
sp|P35729|NU120_YEAST	430270	362560	422080	482060	419350	454810	426770	379310	480740
sp|P35731|FABG_YEAST	46235	40178	46110	23787	20633	20185	57022	47338	60428
sp|P35732|DEF1_YEAST	702130	614290	735530	497600	482070	463190	606070	501690	574090
sp|P35734|ASK1_YEAST	56794	55501	55736	32571	32502	30039	35158	30257	33093
sp|P35735|SFK1_YEAST	150900	115570	128410	125550	101960	125530	78964	69039	82185
sp|P35736|YKF0_YEAST	106790	103890	117390	60319	80138	65407	586990	464730	558310
sp|P35817|BDF1_YEAST	749620	748930	896460	685580	723630	657530	964190	820670	843520
sp|P35844|KES1_YEAST	861750	756010	909120	985470	997100	1010600	638840	530090	538350
sp|P35845|OSH1_YEAST	468140	459970	514200	611610	619970	641020	613430	526250	534460
sp|P35996|RM38_YEAST	51337	56140	64257	101950	109360	101830	86354	74888	76741
sp|P38711|RS27B_YEAST;sp|P35997|RS27A_YEAST	78970	79351	103660	306280	318990	314100	119040	106650	90621
sp|P35999|PMIP_YEAST	142800	135740	140530	210640	202600	204600	160900	141650	147720
sp|P36000|AP1B1_YEAST	564430	484140	573280	759790	689180	707890	585250	488040	542260
sp|P36001|FOLC_YEAST	5298.6	4952.5	5311.9	3182.1	2834.3	3421.6	3528.6	3235.5	4090.9
sp|P36002|PTK1_YEAST	20009	17788	20199	15013	13093	13689	27941	24183	26453
sp|P36003|NNK1_YEAST	59978	54906	58665	45603	39594	42123	125500	105530	129280
sp|P36004|KKQ8_YEAST	162560	147990	161500	148170	132270	135780	229080	196450	227440
sp|P36006|MYO3_YEAST	349380	308560	367580	446440	469550	443690	356800	298400	329030
sp|P36007|LTHAD_YEAST	101420	105330	127180	147390	144550	143920	47246	41649	40142
sp|P36008|EF1G2_YEAST	950070	817260	987560	1685800	1482700	1659000	742150	604120	598930
sp|P36009|DHR2_YEAST	129250	121890	135160	237440	224910	249870	150450	134110	131590
sp|P36010|NDK_YEAST	1012800	914090	1074500	577670	500760	504190	2081500	1681100	1975900
sp|P36012|CENPA_YEAST	13145	11690	12196	12096	10436	11503	17253	13957	17763
sp|P36013|MAOM_YEAST	273580	270310	316070	639460	646980	646160	408620	354150	346720
sp|P36014|GPX1_YEAST	58006	50115	58347	36968	37218	37599	154440	118950	142540
sp|P36015|YKT6_YEAST	385210	365630	433640	432600	425700	426040	440710	392380	402450
sp|P36016|LHS1_YEAST	686700	639750	715690	782690	712460	734430	926320	790070	870350
sp|P36017|VPS21_YEAST	359520	323930	377080	449970	454000	444010	479910	409320	441980
sp|P36018|YPT52_YEAST	244260	211850	255320	347700	364690	350130	286280	233320	258190
sp|P36019|YPT53_YEAST	21554	20636	21720	27396	23896	27778	63089	53406	60745
sp|P36022|DYHC_YEAST	690120	580870	636940	547910	480790	517990	534990	474740	540170
sp|P36023|OAF3_YEAST	54867	50813	54367	63936	58392	63667	57014	53037	52850
sp|P36024|SIS2_YEAST	146360	132940	163130	152750	161720	153560	204310	160330	185960
sp|P36026|UBP11_YEAST	33972	37537	40311	28690	58527	29321	37001	32288	33281
sp|P36027|MID2_YEAST	92574	72728	90153	35148	31828	32665	47451	43490	47603
sp|P36029|TPO5_YEAST	211240	161990	191380	96617	80405	86193	209360	189130	215320
sp|P36034|COS9_YEAST	120970	111260	127030	141120	125200	138960	84996	74780	78923
sp|P36035|JEN1_YEAST	46166	45114	50670	233400	216210	244260	1056300	893340	1040500
sp|P36036|YRA2_YEAST	144840	135880	163750	150050	140140	143200	180890	159570	172110
sp|P36037|DOA1_YEAST	1080800	929760	1106800	705980	655650	634600	929750	793420	906350
sp|P36038|CBT1_YEAST	3989.3	4181.6	4336.8	13970	12593	14855	7884.1	8826.1	7740.4
sp|P36039|EMC3_YEAST	59411	58280	69090	96075	92089	107420	83796	81952	82432
sp|P36040|POC2_YEAST	117620	102420	121000	175430	163740	175340	85708	73093	70821
sp|P36041|EAP1_YEAST	577890	520400	607880	471710	454330	459990	745430	630760	701880
sp|P36044|MNN4_YEAST	794190	636650	729060	299260	267330	273140	562800	481370	562780
sp|P36046|MIA40_YEAST	910670	710010	797350	443710	422980	413650	1076100	895690	1122100
sp|P36047|SDS22_YEAST	466380	496610	577200	626020	693440	623770	739630	615420	654780
sp|P36048|SN114_YEAST	467970	431920	477640	506930	485270	477490	533300	468380	504580
sp|P36049|EBP2_YEAST	383930	346930	393720	384520	379970	387370	387250	331950	378310
sp|P36051|MCD4_YEAST	418310	376540	422160	336910	307110	325040	661730	569920	667870
sp|P36052|NDUF7_YEAST	74562	64397	74120	49776	38577	43802	58927	46499	59158
sp|P36053|ELF1_YEAST	32168	29988	35710	77609	91676	76713	56923	48253	50644
sp|P36054|RCN1_YEAST	36358	34136	36207	54354	54418	54555	23098	20544	20602
sp|P36056|RT22_YEAST	189830	185050	207820	240730	258840	242120	272610	236050	248390
sp|P36057|SRPB_YEAST	204950	185520	225840	176970	170550	167860	167540	142930	158070
sp|P36059|NNRD_YEAST	326700	290670	351440	195090	211550	180210	485960	400680	439160
sp|P36060|MCR1_YEAST	1923000	1751600	2115300	1111300	1114300	963540	5180200	4307700	4333000
sp|P36062|AVT3_YEAST	252740	211720	244930	124350	108640	115910	205340	195240	222410
sp|P36064|COXM1_YEAST	89980	81343	106100	112250	120740	107260	72706	60763	64322
sp|P36066|MGR3L_YEAST;REV__sp|P40467|ASG1_YEAST	200840	169360	192140	121600	118080	116700	254390	215420	254020
sp|P36068|SHE2_YEAST	121730	99771	123620	104920	102440	93330	79551	69305	73591
sp|P36069|PMU1_YEAST	175860	214740	193580	233590	226660	213420	143080	122070	123750
sp|P36070|RRN3_YEAST	13493	10941	12651	6475.3	5890.4	6508.7	13899	11457	13247
sp|P36076|CAB3_YEAST	439150	395150	445920	445030	373160	413530	529610	412600	469180
sp|P36077|SRX1_YEAST	611.64	761.6	780.01	502.03	411.6	443.56	1668.3	1393.8	1938.2
sp|P36080|RRP14_YEAST	310630	240560	299520	212180	189400	189080	231760	192420	211620
sp|P36081|YKH7_YEAST	178710	164710	183270	164780	147320	154720	196390	172640	186050
sp|P36083|YKH5_YEAST	41718	36129	43471	43772	36043	38268	35530	29842	33953
sp|P36084|MUD2_YEAST	212290	213260	247360	173250	162210	161770	193330	170110	176440
sp|P36085|STB6_YEAST	58850	52261	55526	37152	32167	33986	38714	34762	37594
sp|P36086|YKH1_YEAST	602.72	1041	1344.2	5655.2	5339.7	5229.2	6933.8	6419.8	6134.5
sp|P36088|FRMSR_YEAST	174410	162300	197920	168280	160210	157620	149110	128640	132660
sp|P36090|ANR2_YEAST	177820	145270	179590	194730	178350	180460	212620	177730	203330
sp|P36091|DCW1_YEAST	49114	45356	52839	46925	37762	40496	39589	35290	70996
sp|P36094|SPC42_YEAST	262920	249890	298480	256120	274910	244410	261960	204000	230530
sp|P36095|VPS24_YEAST	109720	127150	130040	125610	115150	120630	129000	123090	118210
sp|P36096|TUL1_YEAST	161840	129320	147570	101920	84507	93813	163630	142600	162200
sp|P36097|TTI1_YEAST	201960	187750	209260	204820	187210	195070	234180	204010	226880
sp|P36100|T2EA_YEAST	212900	207360	238650	236220	214610	210370	257580	223020	257160
sp|P36101|TCD2_YEAST	229480	219400	242020	313900	340250	341500	216210	170590	184020
sp|P36102|PAN3_YEAST	285160	239250	273800	203780	191870	191930	238140	199630	236840
sp|P36103|YKC3_YEAST	155520	133320	158990	75171	80267	88662	91490	76447	80936
sp|P36104|SWD2_YEAST	223320	221260	252740	314350	311770	303680	488190	436700	473150
sp|P36105|RL14A_YEAST	557690	513090	621920	728060	763260	717350	462780	399810	407710
sp|P36106|BYE1_YEAST	301940	256430	308620	133430	124120	122630	354100	292310	369610
sp|P36107|AUR1_YEAST	81729	72575	85693	35929	29536	30710	45380	40719	46522
sp|P36108|DID4_YEAST	81710	80323	88683	52108	53651	49574	76103	67000	76226
sp|P36110|PRY2_YEAST	11136	15156	17104	9858.5	8410.3	7697.8	3594.8	3531.8	3016.3
sp|P36112|MIC60_YEAST	770750	638350	723970	377430	359860	338910	862830	759920	857240
sp|P36113|HEL1_YEAST	10231	8520.9	9648.1	9270.4	7916.3	7404.6	15814	16031	18632
sp|P36114|YKR18_YEAST	316100	280150	321860	381840	390230	365230	443380	364530	401030
