Raw file	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
m02860	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6101	31197	31197	35194	27200	0	7994	6327	6151	0	176	17.98	22.61	NaN	2.2	4753	619580	28410	4.59	1679	5.91	95447	24125	23752	25.28	28.03	2576	10.68	+	0.40281	0.62293	161200	170410
m02861	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6065	31886	31886	36031	27741	0	8290	6520	6314	0	206	18.1	22.76	NaN	2.48	4831	658106	29058	4.42	1684	5.8	100197	24506	24086	24.46	27.34	2769	11.3	+	0.40418	0.62439	162860	172350
m02862	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6107	31752	31761	36020	27484	0	8536	6547	6322	0	225	18.18	23	NaN	2.64	4881	656982	28882	4.4	1715	5.94	99639	24238	23847	24.33	27.11	2711	11.18	+	0.40623	0.62781	163870	173190
m02863	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6162	31688	31688	36422	26954	0	9468	6605	6361	0	244	18.13	23.6	NaN	2.58	4778	637511	28680	4.5	1682	5.86	97042	23795	23407	24.52	27.59	2708	11.38	+	0.41227	0.6369	163530	172690
m02864	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6159	31854	31853	36298	27408	0	8890	6795	6576	0	219	18.72	23.99	NaN	2.46	5020	637429	28924	4.54	1708	5.91	97808	24292	23866	24.84	28.07	2670	10.99	+	0.40386	0.61077	165400	174500
m02865	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6358	31512	31539	36129	26895	0	9234	6419	6189	0	230	17.77	23.01	NaN	2.49	4963	602408	28456	4.72	1661	5.84	92898	23916	23483	25.74	29.18	2568	10.74	+	0.42189	0.6425	167880	176700
m02866	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6318	31391	31391	35428	27354	0	8074	6517	6307	0	210	18.4	23.06	NaN	2.6	5111	624387	28785	4.61	1513	5.26	96258	24573	24178	25.53	28.51	2434	9.91	+	0.40062	0.61028	169090	177800
m02867	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6307	31492	31492	36289	26695	0	9594	6531	6271	0	260	18	23.49	NaN	2.71	4781	602363	28440	4.72	1726	6.07	90827	23567	23098	25.95	29.11	2683	11.38	+	0.41828	0.63963	171610	180310
m02868	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6264	31387	31396	36197	26577	0	9620	6322	6021	0	301	17.47	22.65	NaN	3.13	4643	584040	28241	4.84	1755	6.21	88450	23383	22937	26.44	29.63	2749	11.76	+	0.42673	0.64333	171220	179910
m02869	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6258	31400	31400	36067	26733	0	9334	6225	5991	0	234	17.26	22.41	NaN	2.51	4573	586488	28389	4.84	1617	5.7	91765	23711	23236	25.84	29.27	2612	11.02	+	0.44474	0.6797	170150	178830
m02870	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6108	30710	30710	34488	26932	0	7556	6176	5990	0	186	17.91	22.24	NaN	2.46	4702	592560	28130	4.75	1539	5.47	92515	24068	23654	26.02	29.12	2502	10.4	+	0.41979	0.65131	168140	176770
Total																	150849	746852	746941	850871	642831	0	208040	150613	145394	0	5219	17.7	22.62	NaN	2.51	53297	14713202					2255315	571928	561961	25.36	28.52	60912	10.65		0.41789	0.63914	166340	175280
